Category,EndpointUri,Method,Function,Complete,Notes
clients,/clients,GET,Get-MyITProcessClients,YES,
findings,/findings,GET,Get-MyITProcessFindings,YES,
initiatives,/initiatives,GET,Get-MyITProcessInitiatives,YES,
internal,,POST,Add-MyITProcessAPIKey,YES,
internal,,POST,Add-MyITProcessBaseURI,YES,
internal,,PUT,ConvertTo-MyITProcessQueryString,YES,
internal,,GET,Export-MyITProcessModuleSettings,YES,
internal,,GET,Get-MyITProcessAPIKey,YES,
internal,,GET,Get-MyITProcessBaseURI,YES,
internal,,GET,Get-MyITProcessMetaData,YES,
internal,,GET,Get-MyITProcessModuleSettings,YES,
internal,,GET,Import-MyITProcessModuleSettings,YES,
internal,,GET,Invoke-MyITProcessRequest,YES,
internal,,DELETE,Remove-MyITProcessAPIKey,YES,
internal,,DELETE,Remove-MyITProcessBaseURI,YES,
internal,,DELETE,Remove-MyITProcessModuleSettings,YES,
internal,,GET,Test-MyITProcessAPIKey,YES,
meetings,/meetings,GET,Get-MyITProcessMeetings,YES,
recommendations,/recommendations,GET,Get-MyITProcessRecommendations,YES,
recommendations,/recommendations/{recommendationId}/configurations,GET,Get-MyITProcessRecommendations,YES,
reviews,/reviews,GET,Get-MyITProcessReviews,YES,
reviews,/reviews/categories/overdue,GET,Get-MyITProcessReviews,YES,
users,/users,GET,Get-MyITProcessUsers,YES,
